genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Sulfurihydrogenibium azorense,309806,Az-Fu1,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Sulfurihydrogenibium,GCA_000021545.1,32.8,1.6,AF528192,57.4,50
Persephonella hydrogeniphila,198703,29W,Bacteria,Aquificae,Aquificae,Aquificales,Hydrogenothermaceae,Persephonella,,37.3,,AB086419,60.5,50
Marinithermus hydrothermalis,186192,T1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Marinithermus,GCA_000195335.1,68.1,2.3,AB079382,64,50
Pseudothermotoga elfii,38322,SEBR 6459,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Pseudothermotoga,GCA_000504085.1,38.7,2.2,X80790,59.5,50
Thermoanaerobacter kivui,2325,LKT-1,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Thermoanaerobacter,GCA_000763575.1,35,2.4,L09160,57.3,50
Thermotoga profunda,1508420,AZM34c06,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000828675.1,38.8,2.2,NR_133904,59.3,50
Thermotoga caldifontis,1508419,AZM44c09T,Bacteria,Thermotogae,Thermotogae,Thermotogales,Thermotogaceae,Thermotoga,GCA_000828655.1,51.3,2,NR_133903,62.3,50
Desulfotomaculum thermosubterraneum,348840,RL50JIII ,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfofundulus,,54.4,,DQ208688,58.4,50
Thermomicrobium carboxidum,1401547,KI3 ,Bacteria,Chloroflexi,Thermomicrobia,Thermomicrobiales,Thermomicrobiaceae,Thermomicrobium,,66,,KF193529,66.9,50
Thermus caliditerrae,1330700,YIM 77925 ,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,65.7,,KC852874,62.3,50
Moorella stamsii,1266720,E3-O,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Moorella,,54.6,,HF563589,58,50
Carboxydothermus pertinax,870242,Ug1,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,,42.2,,AB573431,58.7,50
Carboxydothermus islandicus,661089,SET IS-9 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Carboxydothermus,,37.7,,GQ324698,58.5,50
Thermovenabulum gondwanense,520767,R270 ,Bacteria,Firmicutes,Clostridia,Thermoanaerobacterales,Thermoanaerobacterales Family III. Incertae Sedis,Thermovenabulum,,41,,EU443729,59.6,50
Thermodesulfovibrio hydrogeniphilus,412896,Hbr5,Bacteria,Nitrospirae,Nitrospira,Nitrospirales,Nitrospiraceae,Thermodesulfovibrio,,36.1,,EF081294,58.6,50
Methermicoccus shengliensis,660064,ZC-1,Archaea,Euryarchaeota,Methanomicrobia,Methanosarcinales,Methermicoccaceae,Methermicoccus,,56,,DQ787474,59.1,50
Thermus caldifontis,1930763,YIM 73026,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,65.4,,KX580314,63,50
Caldibacillus debilis,301148,Tf,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Caldibacillus,,49.9,,AJ564608,59.7,50
Carboxydocella sporoproducens,285110,Kar,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVI. Incertae Sedis,Carboxydocella,,46.5,,AY673988,56.5,50
Caminibacter hydrogeniphilus,152526,AM1116,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Caminibacter,,29,,AJ309655,59.2,50
Sulfodiicoccus acidiphilus,1670455,HS-1,Archaea,Crenarchaeota,Thermoprotei,Sulfolobales,Sulfolobaceae,Sulfodiicoccus,GCA_003967175.1,51.1,2.4,LC061218,61.8,50
Thermus amyloliquefaciens,1449080,YIM77409,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Thermus,,30.6,,KP284528,62.6,50
Pyrinomonas methylaliphatogenes,454194,K22,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Pyrinomonadaceae,Pyrinomonas,,59.6,,AM749787,59.7,50
Desulfothermus naphthae,392844,TD3,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfovibrionales,Desulfohalobiaceae,Desulfothermus,,37.4,,X80922,58,50
Hydrogenophilus hirschii,85993,Yel5a,Bacteria,Proteobacteria,Hydrogenophilalia,Hydrogenophilales,Hydrogenophilaceae,Hydrogenophilus,,61,,AJ131694,58.2,50
Chloroflexus aggregans,152260,MD-66,Bacteria,Chloroflexi,Chloroflexia,Chloroflexales,Chloroflexaceae,Chloroflexus,GCA_000021945.1,56.4,4.7,D32255,62.7,50
Planifilum fulgidum,201973,500275,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Planifilum,,59.4,,AB088362,60.6,50
Meiothermus luteus,2026184,YIM 72257,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,,62.6,,KY608080,59.9,50
Aeribacillus composti,1868734,N.8,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Aeribacillus,,40.5,,LT594972,57,50
Thermoanaerobaculum aquaticum,1312852,MP-01,Bacteria,Acidobacteria,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Thermoanaerobaculum,,62.7,,JX420244,61.3,50
Ammoniibacillus agariperforans,1229250,FAB2,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Ammoniibacillus,,49.5,,AB745450,57.8,50
Kosmotoga arenicorallina,688066,S304,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Kosmotoga,,40.8,,AB530678,60,50
Deferribacter thermophilus,53573,BMA,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Deferribacter,,34,,U75602,59.4,50
Cellulosibacter alkalithermophilus,630405,A6,Bacteria,Firmicutes,Clostridia,Clostridiales,Hungateiclostridiaceae,Cellulosibacter,,30,,FJ815191,53.2,50
Symbiobacterium ostreiconchae,471799,KY38,Bacteria,Firmicutes,Clostridia,Clostridiales,Symbiobacteriaceae,Symbiobacterium,,68.8,,AB361629,61.5,50
Planifilum fimeticola,201975,H0165,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Planifilum,,60.3,,AB088364,60.7,50
Desulfotomaculum peckii,1236215,LINDBHT1,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfohalotomaculum,,44.4,,JX861507,55.4,50
Desulfosoma caldarium,610254,USBA-053,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfosoma,,,,FJ491989,58.7,50
