genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Cohnella collisoli,1658061,NKM-5,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,,48.3,,KR011027,56,5
Blastomonas aquatica,1510276,PE 4-5,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Blastomonas,,66,,KJ528316,53.7,5
Sulfitobacter pacificus,1499314, SCM-1(,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Sulfitobacter,,56.5,,AB934383,53.6,5
Pontibacter saemangeumensis,1084525,GCM0142,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Pontibacter,,48.9,,JN607163,58.2,5
Desulfosporosinus burensis,1037382,BSREI1,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfosporosinus,,43.3,,JF810424,54.9,5
Chryseobacterium tructae,1037380,1084-08,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,37.4,,FR871429,50.1,5
Constrictibacter antarcticus,656747,262-8,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Constrictibacter,,69.8,,AB510913,59.3,5
Mucilaginibacter kameinonensis,452286,SCK,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,,43.7,,AB330392,52.1,5
Rhodopirellula lusitana,445327,UC17,Bacteria,Planctomycetes,Planctomycetia,Planctomycetales,Planctomycetaceae,Rhodopirellula,,54.6,,EF589351,54.1,5
Marinobacterium rhizophilum,420402,CL-YJ9,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Marinobacterium,,61,,EF192391,54.9,5
Methylocystis heyeri,391905,H2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,Methylocystis,GCA_004802635.2,63,4.7,AM283543,56.1,5
Exiguobacterium indicum,296995,HHS 31,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,,48,,AJ846291,55.7,5
Dyadobacter crusticola,292407,CP183-8,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Dyadobacter,,48,,AJ821885,52.7,5
Arthrobacter flavus,95172,CMS 19Y,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Arthrobacter,,,,AB299278,56.8,5
Aeromicrobium fastidiosum,52699,J41,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Aeromicrobium,,71.5,,AF005022,57.6,5
Flavobacterium alvei,2080416,HR-AY,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34.4,,MF685248,50.5,5
Solitalea longa,2079460,HR-AV,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Solitalea,,38.4,,MF685247,50.4,5
Chryseobacterium treverense,631455,IMMIB L-1519,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,,,FN297836,49.8,5
Flavobacterium degerlachei,229203,LMG 21915,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34,,AJ557887,50.2,5
Gillisia limnaea,195907,LMG 21470,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gillisia,,38.4,,AJ440991,50.2,5
Kocuria polaris,136273,CMS 76or,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,,73,,AJ278868,57.2,5
Methylomonas scandinavica,85583,SR5,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylomonas,,53.3,,AJ131369,52.5,5
Rhodanobacter umsongensis,633153,?GR24-2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,,65.6,,FJ821731,56.2,5
Paraherbaspirillum soli,631222,JS5-2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Paraherbaspirillum,,59,,FJ812351,54,5
Chryseobacterium soli,445961,JS6-6,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,39.9,,EF591302,50.6,5
Polaromonas jejuensis,457502,JS12-13,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,,63.7,,EU030285,54.3,5
Biostraticola tofi,466109,BF36,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Biostraticola,,54.2,,AM774412,54.5,5
Sphingobium paulinellae,2048545,Pch-B,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,,61.4,,KY864399,54.8,5
Chryseobacterium carnipullorum,1124835,9_R23581,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,,36.7,,JN935269,50.3,5
Lutibacter litoralis,321268,CL-TF09,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Lutibacter,,33.9,,AY962293,49.7,5
Vicingus serpentipes,1926625,ANORD5,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Vicingus,,31,,KX499499,50,5
Psychromicrobium silvestre,1645614,AM20-18,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Psychromicrobium,,59.9,,KP899144,56,5
Rhodanobacter terrae,418647,GP18-1,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,,62.5,,EF166076,56,5
Clostridium akagii,91623,CK58,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,31.4,,AJ237755,52,5
Flavobacterium branchiophilum,55197,Wakabayashi BGD-7721,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_000253275.1,32.9,3.6,D14017,47,5
Pseudomonas bauzanensis,653930,BZ93,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,61.8,,GQ161991,54,5
Subtercola vilae,2056433,DB165,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Subtercola,,65,,MF276890,55,5
Endozoicomonas ascidiicola,1698521,AVMART05,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Endozoicomonadaceae,Endozoicomonas,,46.7,,KT364257,54.6,5
Psychromonas aquimarina,444919,JAMM 0404,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,,42.2,,AB304805,52.1,5
Shewanella spongiae,342950,HJ039,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Parashewanella,,52.8,,DQ167234,53.3,5
Methanogenium boonei,348609,AK-7,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,,,,DQ250385,57,5
Methanogenium marinum,348610,AK-1,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,,56.5,,DQ177344,55.6,5
Lysobacter oligotrophicus,1137273,107-E2,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,66.1,,AB694977,55.5,5
Colwellia echini,1982103,A3,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Colwellia,,36.9,,KY979967,52.6,5
Pedobacter psychrophilus,1826909,P4487A,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,46.3,,KX113374,54.6,5
Nocardioides salsibiostraticola,1276547,PAMC 26527,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Nocardioidaceae,Nocardioides,,69.3,,KC152461,57.7,5
Flavobacterium algicola,556529,TC,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,33.9,,AB455265,50,5
Neptunomonas japonica,417574, JAMM 0745,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Neptunomonas,,43.7,,AB288092,53.8,5
Thiocystis chemoclinalis,346389,CadH11,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiocystis,,68.1,,AM086641,57.8,5
Thiocystis cadagnonensis,346388,Cad448,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Chromatiaceae,Thiocystis,,69.5,,AM086640,58.7,5
Flavobacterium fryxellicola,249352, LMG 22022,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,35.6,,AJ811961,50.7,5
Flavobacterium psychrolimnae,249351,LMG 22018,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,34.2,,AJ585428,50.7,5
Algoriphagus antarcticus,238540,LMG 21980,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,,41,,AJ577141,53.2,5
Flavobacterium gelidilacus,206041,LMG 21477,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,30.2,,AJ440996,49.4,5
Gallionella ferruginea,97,Johan,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Gallionellaceae,Gallionella,,52.8,,L07897,52,5
Deinococcus radiomollis,468916,PO-04-20-132,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,63.2,,EF635404,55.9,5
Deinococcus claudionis,468915,PO-04-19-125,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,63.1,,EF635406,55.8,5
Deinococcus altitudinis,468914,ME-04-01-32,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,65.9,,EF635405,55.9,5
Deinococcus alpinitundrae,468913,ME-04-04-52,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,,62.6,,EF635408,55.8,5
Pedobacter bauzanensis,653929,BZ42,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,,36.5,,GQ161990,52,5
Psychrobacter immobilis,498,ATCC 43116,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Psychrobacter,,45.5,,U39399,52.8,5
Psychromonas japonica,444918,JAMM 0394,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Psychromonadaceae,Psychromonas,,38.8,,AB304804,51.7,5
Flavobacterium psychrophilum,96345,Ordal 3068,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,GCA_000754405.1,32.7,2.7,AB078060,50.6,5
Shewanella donghaensis,238836,LT17,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Shewanellaceae,Shewanella,GCA_007567505.1,40.2,4.9,AY326275,53.8,5
Flavobacterium segetis,271157,AT1048,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,35,,AY581115,50.2,5
Subsaxibacter sediminis,1663198,ARC111,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Subsaxibacter,,37.8,,KP455984,51.9,5
Polaromonas eurypsychrophila,1614635,B717-2,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Polaromonas,,63.4,,KP013181,52.7,5
Hymenobacter frigidus,1524095,B1789,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Hymenobacteraceae,Hymenobacter,,59.4,,KJ755878,55.4,5
Flavobacterium weaverense,271156,AT1042,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,37,,AY581114,50,5
Halomonas zhaodongensis,1176240,NEAU-ST10-25,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,53.8,,JQ762286,56,4
Halobacillus andaensis,1176239,NEAU-ST10-40,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Halobacillus,,39.3,,JQ762290,56.1,4
Bradyrhizobium erythrophlei,1437360,?CCBAU 53325,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,,59.9,,NR_135877,55.2,4
Paracoccus sphaerophysae,690417,Zy-3,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,,67.1,,GU129567,55.9,4
Streptomonospora tuzyakensis,1384037,BN506,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Streptomonospora,,71.1,,KC959224,59.7,4
Bacillus siamensis,659243,PD-A10,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_002850535.1,46,4.3,GQ281299,55.1,4
Idiomarina halophila,1449799,BH195,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,51.3,,KF963828,53.7,4
Algibacter alginicilyticus,1736674,HZ22,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Algibacter,GCA_001310225.1,31.8,4,JN620360,50,4
Sediminivirga luteola,1774748,F23,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Brevibacteriaceae,Sediminivirga,,69,,KT728196,58.1,4
Massilia alkalitolerans,286638,YIM 31775,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,,62.4,,AY679161,53.6,4
Pannonibacter carbonis,2067569,Q4.6 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pannonibacter,,63.6,,KX953219,56.1,4
Advenella alkanexedens,1481665,LAM005,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Advenella,,51.2,,KJ169456,54.3,4
Nesterenkonia alkaliphila,1463631,F10,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Nesterenkonia,,66.2,,KF914157,57.1,4
Gracilibacillus kekensis,1027249,K170,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,,35.8,,HQ439902,54.7,4
Jeotgalibacillus malaysiensis,1508404,D5,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Jeotgalibacillus,GCA_000818095.1,42.4,4.1,KJ460028,55,4
Microbacterium neimengense,1126831,7087,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,,69.9,,JN408293,55.3,4
Polymorphum gilvum,991904,SL003B-26A1,Bacteria,Proteobacteria,Alphaproteobacteria,,,Polymorphum,GCA_000192745.1,67.1,4.7,GU125654,56.3,4
Salinicoccus kekensis,714307,K164,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,,50.2,,GU363531,55.5,4
Paraliobacillus quinghaiensis,470815,YIM-C158,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Paraliobacillus,,39.5,,EU135728,54.3,4
Alkalicoccus saliphilus,200989,6AG,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Alkalicoccus,,48.4,,AJ493660,57.1,4
Kocuria dechangensis,1176249,NEAU-ST5-33,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Kocuria,,61.2,,JQ762279,57.8,4
Halomonas olivaria,390919,C17,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,GCA_004295565.1,55.3,5,DQ645593,54.9,4
Altererythrobacter aerius,1837929,100921-2,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,,67.5,,KU311004,55.2,4
Bacillus oceani,1653776,SW109,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,46.3,,KR611043,55.1,4
Streptomyces leeuwenhoekii,1437453,C34,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,GCA_001013905.1,72.7,8.1,NR_126200,59.8,4
Planococcus dechangensis,1176255,NEAU-ST10-9,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Planococcus,,45.2,,JQ762282,56.1,4
Brevundimonas naejangsanensis,588932,BIO-TAS2-2,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,GCA_000635915.2,67.5,3,FJ544245,55.1,4
Pseudoclavibacter chungangensis,587635, CAU 59,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Pseudoclavibacter,,66.2,,FJ514934,56.5,4
Halomonas campisalis,74661,4A,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,66,,NR_028702,55.9,4
Alteromonas oceani,2071609,S35,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,,51.3,,MF687202,53.3,4
Microbacterium sediminis,904291,YLB-01,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,GCA_004564075.1,71.7,2.9,HQ219727,56,4
Rubrimonas shengliensis,690083,SL014B-28A2,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rubrimonas,,65.6,,GU125651,58.6,4
Tessaracoccus oleiagri,686624,SL014B-20A1,Bacteria,Actinobacteria,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Tessaracoccus,,66.4,,GU111566,56.4,4
Maribacter thermophilus,1197874,HT7-2 ,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Maribacter,,38.8,,JQ988061,54,4
Marinilactibacillus piezotolerans,258723, LT20,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Marinilactibacillus,,42,,AY485792,53.6,4
Lysobacter brunescens,262323,UASM D,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Lysobacter,,67.7,,AB161360,56.3,4
Alkalimicrobium pacificum,1463601,F15,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Mameliella,,60.2,,KF924609,55.7,4
Muriicola marianensis,1324801,A6B8,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Muriicola,,47.1,,KC839612,53.8,4
Microbacterium petrolearium,1652031,LAM0410 ,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Microbacterium,,67.4,,KF697702,56.4,4
Myceligenerans xiligouense,253184,XLG9A10.2,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Promicromonosporaceae,Myceligenerans,,71.9,,AY354285,57.7,4
Halothiobacillus kellyi,109263, Milos-BII1,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Halothiobacillaceae,Halothiobacillus,,62,,AF170419,54.8,4
Halomonas salifodinae,438745,BC7,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,65.5,,EF527873,55.7,4
Halomonas caseinilytica,438744,AJ261,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,63,,EF527874,56.5,4
Halomonas subterranea,416874,ZG16,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,57.6,,EF144148,56.6,4
Halomonas arcis,416873,AJ282,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,56.7,,EF144147,56.3,4
Halomonas saccharevitans,416872,AJ275,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,65.9,,EF144149,55.8,4
Terribacillus aidingensis,586416,YI7-61,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Terribacillus,,45,,FJ386524,54.9,4
Marinobacter pelagius,379482,HS225,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,59,,DQ458821,55.4,4
Marinobacter litoralis,187981,SW-45,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,55,,AF479689,55.1,4
Blastococcus litoris,2171622,GP-S2-8,Bacteria,Actinobacteria,Actinobacteria,Geodermatophilales,Geodermatophilaceae,Blastococcus,,74.2,,MH128378,58.8,4
Thalassotalea mangrovi,2572245,ZS-4,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Colwelliaceae,Thalassotalea,,45.9,,MK911729,52.6,4
Rhizobium arenae,1856850,MIM27,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Rhizobium,,59.8,,KX352244,54.7,4
Pseudomonas populi,1500966,KBL-4-9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,61.6,,KC609749,54.4,4
Aliidiomarina iranensis,1434071,GBPy7,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Aliidiomarina,,51.6,,KF724186,52.4,4
Leucobacter celer,668625,NAL101,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,,68.8,,GQ504012,55.8,4
Bacillus oceanisediminis,665099,MK-7,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_000294775.2,40.8,5.8,GQ292772,55,4
Ignatzschineria indica,472583,FFA1,Bacteria,Proteobacteria,Gammaproteobacteria,,,Ignatzschineria,,41.1,,EU008088,52.4,4
Ignatzschineria ureiclastica,472582,FFA3,Bacteria,Proteobacteria,Gammaproteobacteria,,,Ignatzschineria,,40.1,,EU008089,51.8,4
Halomonas lutea,453962,YIM 91125,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,60.8,,EF674852,57.1,4
Gracilibacillus quinghaiensis,470774,YIM-C229,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,,40.9,,EU135723,55.2,4
Modicisalibacter tunisiensis,390637,LIT2,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Modicisalibacter,,53.7,,DQ641495,56.2,4
Salinicoccus kunmingensis,399363,YIM Y15,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,,46.2,,DQ837380,54.9,4
Gracilibacillus orientalis,334253,XH-63,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Gracilibacillus,,36.6,,AM040716,54.6,4
Haliea atlantica,1548455,SM1351 ,Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Halieaceae,Haliea,,62,,KM117233,55.8,4
Rothia endophytica,1324766,YIM 67072,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Rothia,,53.2,,KC806052,56.3,4
Aquitalea magnusonii,332411,TRO-001DR8,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquitalea,GCA_002217795.2,59.3,4.9,DQ018117,54.5,4
Ornithinibacter aureus,622664,HB09001,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Intrasporangiaceae,Ornithinibacter,,69.6,,FJ796074,56.7,4
Pelagibacterium lentulum,2029865,MCCC 1K03218,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Pelagibacterium,,58.6,,KX989461,54.3,4
Geofilum rhodophaeum,1965019,HF401,Bacteria,Bacteroidetes,Bacteroidia,Marinilabiliales,Marinilabiliaceae,Geofilum,,50.8,,KY659246,52.1,4
Pelobacter propionicus,29543, Ott Bd 1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Desulfuromonadaceae,Pelobacter,GCA_000015045.1,58.5,4.2,X70954,55,4
Idiomarina fontislapidosi,263723,F23,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Idiomarina,,46,,AY526861,54,4
Aliidiomarina soli,1928574,Y4G10-17,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Aliidiomarina,,49.3,,KX355166,53.7,4
Marinovum faecis,1894968, YP194,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Marinovum,,63.1,,LC177380,54.2,4
Bacillus ciccensis,1670641,5L6,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,GCA_006704205.1,37.4,5.2,KP965576,54.5,4
Roseomonas oryzae,1608942,JC288 ,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,Roseomonas,,67.5,,LN810637,58.9,4
Pseudogracilibacillus marinus,1593363,NIOT.bflm.S4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Pseudogracilibacillus,,39.1,,KJ575074,53.3,4
Flavobacterium arsenatis,1484332,Z,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,,32.1,,KJ205533,52.7,4
Lactobacillus oryzae,1202668,SG293,Bacteria,Firmicutes,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,,43.4,,AB731660,52.1,4
Paenibacillus doosanensis,1229154,CAU 1055,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,48.3,,JX233493,54.2,4
Bacillus qingshengii,1226983,G19,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,36.7,,JX293295,54.8,4
Halomonas lionensis,1144478,RHS90,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,54.4,,HE661586,55.5,4
Cohnella capsici,1133855,YN-59,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Cohnella,,59.3,,JN982126,56.4,4
Pseudomonas sesami,582700,SI-P133,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,,61.3,,EU912472,54,4
Bacillus chungangensis,587633,CAU 348,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,35,,FJ514932,54.4,4
Salinicoccus carnicancri,558170,Crm,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,,47.8,,FJ182049,56,4
Vogesella perlucida,450366,DS-28,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Vogesella,,61.8,,EF626691,55.1,4
Salinicoccus luteus,367840,YIM 70202,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Salinicoccus,,49.7,,DQ352839,55.5,4
Halomonas alimentaria,147248,YKJ-16,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,63,,AF211860,56.5,4
Nocardia tengchongensis,2055889,CFH S0057,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Nocardiaceae,Nocardia,,65.7,,KY039320,57.8,4
