genus_and_species,taxonomy_id,strain,superkingdom,phylum,class,order,family,genus,assembly_or_accession,Genome_GC,Genome_size,16S_accssion,16S_GC,Tmin
Meiothermus cateniformans,482825,LY1,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,,,,EU247891,58.4,30
Pseudoxanthomonas taiwanensis,176598,CB-226,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,,69.9,,AF427039,57,30
Geothermomicrobium terrae,1411133,YIM 77562 ,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Geothermomicrobium,,45.5,,AB859256,57.1,30
Tepidiphilus thermophilus,876478,JHK30,Bacteria,Proteobacteria,Hydrogenophilalia,Hydrogenophilales,Hydrogenophilaceae,Tepidiphilus,,66.1,,HM543264,59.3,30
Sulfurivirga caldicuralii,364032,MM1,Bacteria,Proteobacteria,Gammaproteobacteria,Thiotrichales,Piscirickettsiaceae,Sulfurivirga,,51.3,,AB245479,57.2,30
Paenibacillus tezpurensis,627231,AS-S24-II,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,,,FJ804507,56.3,30
Alicyclobacillus pomorum,204470,3A,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,53.1,,AB089840,58.2,30
Bacillus okuhidensis,136160,GTC 854,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,40.1,,AB047684,54.4,30
Desulfotomaculum alkaliphilum,105483,S1,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfohalotomaculum,,40.9,,AF097024,54.4,30
Heliobacterium modesticaldum,35701,Ice1,Bacteria,Firmicutes,Clostridia,Clostridiales,Heliobacteriaceae,Heliobacterium,GCA_000019165.1,57,3.1,L36200,56.8,30
Natronolimnobius aegyptiacus,745377,JW/NM-HA 15,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronolimnobius,GCA_002156705.1,64.1,3.9,KX857214,59.3,30
Halorubrum coriense,64713,Ch2,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,67,,L00922,58.1,30
Halorubrum saccharovorum,2248,M6,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,71.2,,U17364,58.2,30
Haloterrigena longa,370324,ABH32,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,,63.2,,DQ367242,57.9,30
Haloferax elongans,403191,SA5,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,,61.4,,DQ860977,56.9,30
Desulfotomaculum ferrireducens,1833852,GSS09,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,GCA_002005145.1,45.4,3.2,KU589293,55.2,30
Thioprofundum lithotrophicum,571898,106,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Thioprofundaceae,Thioprofundum,,66,,AB468957,56.6,30
Thermotalea metallivorans,520762,B2-1,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Thermotalea,,48,,EU443727,54.5,30
Cerasibacillus quisquiliarum,227865, BLx,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Cerasibacillus,,35.5,,AB107894,54.6,30
Geotoga petraea,28234,CC-1,Bacteria,Thermotogae,Thermotogae,Petrotogales,Petrotogaceae,Geotoga,,30,,L10658,52.8,30
Haloferax denitrificans,35745,S1,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloferax,,66.3,,D14128,56.6,30
Rehaibacterium terrae,1341696,YIM 77974,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rehaibacterium,,68.3,,KC999854,57.9,30
Ignavibacterium album,591197,Mat9-16,Bacteria,Ignavibacteriae,Ignavibacteria,Ignavibacteriales,Ignavibacteriaceae,Ignavibacterium,GCA_000258405.1,33.9,3.7,AB478415,53.7,30
Actinomadura keratinilytica,547461,WCC-2265,Bacteria,Actinobacteria,Actinobacteria,Streptosporangiales,Thermomonosporaceae,Actinomadura,,73.7,,EU637009,59.6,30
Annwoodia aquaesulis,47959,ATCC 43788,Bacteria,Proteobacteria,Betaproteobacteria,Nitrosomonadales,Thiobacillaceae,Annwoodia,,65.7,,U58019,56.4,30
Geosporobacter subterraneus,390806,VNs68,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Geosporobacter,,42.2,,DQ643978,53.8,30
Nautilia profundicola,244787,AmH,Bacteria,Proteobacteria,Epsilonproteobacteria,Nautiliales,Nautiliaceae,Nautilia,GCA_000021725.1,33.5,1.7,AF357197,57.1,30
Clostridium isatidis,182773,Wv6,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_002285495.1,28.9,2.9,X98395,52.7,30
Clostridium tepidum,1962263,IEH 97212,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,26.9,,KY322707,52.4,30
Limnochorda pilosa,1555112,HC45,Bacteria,Firmicutes,Limnochordia,Limnochordales,Limnochordaceae,Limnochorda,GCA_001544015.1,69.7,3.8,AB992259,63.6,30
Meiothermus granaticius,863370,AF-68,Bacteria,Deinococcus-Thermus,Deinococci,Thermales,Thermaceae,Meiothermus,,63.5,,GU584097,57.6,30
Methylomarinovum caldicuralii,438856,IT-9,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylothermaceae,Methylomarinovum,,66,,AB301718,60.6,30
Alicyclobacillus sacchari,392010,RB718,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,56.6,,AB264020,57.6,30
Paludifilum halophilum,1642702,SMBg3,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Paludifilum,,51.2,,KP229518,59.6,30
Tibeticola sediminis,1917811, YIM 73013,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Tibeticola,,68.3,,KX161735,56,30
Halorubrum aethiopicum,1758255,SAH-A6,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halorubrum,,68,,KX150521,58.7,30
Haloarcula quadrata,182779,801030/1,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Haloarcula,,60.1,,AB010964,56.8,30
Flexistipes sinusarabici,2352,MAS10,Bacteria,Deferribacteres,Deferribacteres,Deferribacterales,Deferribacteraceae,Flexistipes,GCA_000218625.1,38.3,2.5,M59231,54.1,30
Deinococcus geothermalis,68909,AG-3a,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,GCA_000196275.1,66.4,3.2,Y13038,59.5,30
Mesotoga infera,1236046,VNs100,Bacteria,Thermotogae,Thermotogae,Kosmotogales,Kosmotogaceae,Mesotoga,,47.5,,HE818616,55.3,30
Alicyclobacillus tengchongensis,368812,ACK006,Bacteria,Firmicutes,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,,53.7,,KF772795,58.6,30
Halanaerobaculum tunisiense,503834,6SANG,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Halanaerobaculum,,34.3,,EU327343,53.3,30
Acidibacillus sulfuroxidans,1765684,Y002,Bacteria,Firmicutes,Bacilli,Bacillales,,Acidibacillus,,,,KP860945,58,30
Halovivax cerinus,1487865,IC35,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halovivax,,63.2,,KJ406208,58.6,30
Halorientalis persicus,1367881,D108,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halorientalis,,62.8,,KF313134,59.4,30
Halopenitus malekzadehii,1267564,CC65,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Halorubraceae,Halopenitus,,63.8,,KC018183,59.3,30
Haloplanus vescus,555874,RO5-8,Archaea,Euryarchaeota,Halobacteria,Haloferacales,Haloferacaceae,Haloplanus,,62.1,,EU931578,57.5,30
Salinifilum proteinilyticum,1851175,Miq-12,Bacteria,Actinobacteria,Actinobacteria,Pseudonocardiales,Pseudonocardiaceae,Salinifilum,,72.1,,KX024578,59.3,30
Salinithrix halophila,1485204,R4S8,Bacteria,Firmicutes,Bacilli,Bacillales,Thermoactinomycetaceae,Salinithrix,,52.6,,KJ206288,58.6,30
Limimonas halophila,1082479,IA16,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Limimonas,,67,,JN605361,61.1,30
Catenisphaera adipataccumulans,700500,GK12,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Catenisphaera,,47.7,,AB537978,55.1,30
Geoalkalibacter subterraneus,483547,Red1,Bacteria,Proteobacteria,Deltaproteobacteria,Desulfuromonadales,Geobacteraceae,Geoalkalibacter,GCA_000827125.1,56.6,3.7,EU182247,57.4,30
Paenibacillus xylaniclasticus,588083,TW1,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,49.5,,FJ532373,55.5,30
Syntrophomonas palmitatica,402877,MPA,Bacteria,Firmicutes,Clostridia,Clostridiales,Syntrophomonadaceae,Syntrophomonas,,45,,AB274039,54.4,30
Bacillus oleronius,38875, Kuhnigk RT 10,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,35,,X82492,54.3,30
Porphyrobacter tepidarius,60454,OT3,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Porphyrobacter,,65,,D84429,52.6,30
Cecembia rubra,1485585, YIM 78110,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Cecembia,,47.1,,KJ361469,55.4,30
Natronococcus roseus,1052014,CG-1,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronococcus,,62.1,,FR877778,59,30
Paracoccus kondratievae,135740,GB,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,GCA_009301415.1,62.9,4.2,AF250332,55.8,30
Paenibacillus lentus,1338368,CMG1240,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,GCA_003931855.1,46.5,5.3,KC800716,54.3,30
Halomonas sabkhae,626223,5墩3휑,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Halomonas,,57,,EF442769,55.7,30
Xylanibacillus composti,1572762,K13,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Xylanibacillus,,52.3,,KX298897,55.2,30
Pseudoxanthomonas icgebensis,643829,ICGEB-L15,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,,69.9,,FJ838784,54.8,30
Bifidobacterium thermacidophilum,246618,36,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,59,,AB016246,60.5,30
Methylocaldum tepidum,73781,LK6,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylocaldum,,59,,U89297,55.8,30
Anaerotignum lactatifermentans,160404,G17,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerotignum,,44.6,,AY033434,52.3,30
Clostridium amazonense,1648214,NE08V,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,31.6,,KP281434,52.6,30
Acetohalobium arabaticum,28187,Z-7288,Bacteria,Firmicutes,Clostridia,Halanaerobiales,Halobacteroidaceae,Acetohalobium,GCA_000144695.1,36.6,2.5,L37422,53.2,30
Sulfobacillus benefaciens,453960, BRGM2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiales Family XVII. Incertae Sedis,Sulfobacillus,,50.6,,EF679212,63,30
Natronolimnobius baerhuensis,253108,IHC-005 ,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Natronolimnobius,,59.5,,AB125107,57.9,30
Aeriscardovia aeriphila,218139,T6,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Aeriscardovia,,54.7,,NR_042759,60.3,30
Desulfotomaculum aquiferis,1397668,Bs105,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfotomaculum,,42.9,,KF591693,53.8,30
Methanomicrobium mobile,2205,BP,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanomicrobium,,48.8,,M59142,53,30
Aminobacterium thunnarium,1482737,OTA 102 ,Bacteria,Synergistetes,Synergistia,Synergistales,Synergistaceae,Aminobacterium,,41.7,,KJ159211,56,30
Oscillibacter ruminantium,1263547,GH1,Bacteria,Firmicutes,Clostridia,Clostridiales,Oscillospiraceae,Oscillibacter,,54.6,,JF750939,53.4,30
Halapricum salinum,1457250,CBA1105,Archaea,Euryarchaeota,Halobacteria,Halobacteriales,Haloarculaceae,Halapricum,GCA_004799665.1,63.7,3.5,KF314042,58.5,30
Halostagnicola bangensis,1245458,T26,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Halostagnicola,,60.1,,HF544345,57.8,30
Proteus alimentorum,1973495,08MAS0041,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Proteus,,38,,KY930948,53.1,30
Lawsonibacter asaccharolyticus,2108523,3BBH22,Bacteria,Firmicutes,Clostridia,Clostridiales,,Lawsonibacter,,61.2,,LC371917,54.1,30
Parolsenella catena,2003188,2CBEGH3,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Atopobiaceae,Parolsenella,GCA_003966955.1,65.6,1.8,LC270126,64.4,30
Paenibacillus senegalensis,1465766,JC66,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,48.2,,JF824808,54.9,30
Corynebacterium jeddahense,1414719,JCB,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,67.2,,HG726038,56.5,30
Bacillus dielmoensis,1347369,FF4,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,,40.8,,HG315676,54.9,30
Megasphaera massiliensis,1232428,NP3,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,,50.2,,JX424772,55.4,30
Corynebacterium ihumii,1232427,GD7,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,65.1,,JX424769,56.4,30
Clostridium vulturis,1157312,YMB-57,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,34,,JQ423949,51.8,30
Brevibacillus massiliensis,1118054,phR,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,,53.1,,JN837488,56.6,30
Romboutsia ilealis,1115758,CRIB,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Romboutsia,,28.1,,JN381505,52.9,30
Anaerostipes hadrus,649756,Anaerostipes hadrus,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Anaerostipes,GCA_001998765.1,37.3,3.2,FR749932,53.5,30
Salicola salis,338884,B2,Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,Salicola,,56,,DQ129689,57.3,30
Clostridium nitritogenes,83340,ATCC 25547,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,,,NR_024684,52.7,30
Selenomonas infelix,135082,ATCC 43532,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,,57,,AF287802,55,30
Selenomonas flueggei,135080,ATCC 43531,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,,57,,AF287803,54.9,30
Selenomonas dianae,135079,ATCC 43527,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,,53,,AF287801,54.4,30
Eubacterium ruminantium,42322,ATCC 17233,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,,,,AB008552,52.7,30
Butyrivibrio crossotus,45851,ATCC 29175,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,,37,,X89981,51.6,30
Eubacterium ramulus,39490,ATCC 29099,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,,39,,L34623,52.9,30
Absiella dolichum,31971,ATCC 29143,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Absiella,,39,,L34682,50.7,30
Eubacterium limosum,1736,ATCC 8486,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,GCA_000807675.2,47.2,4.4,M59120,52.1,30
Butyrivibrio fibrisolvens,831,ATCC 19171,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Butyrivibrio,,42,,X89970,52.5,30
Sporolactobacillus putidus,492735,QC81-06,Bacteria,Firmicutes,Bacilli,Bacillales,Sporolactobacillaceae,Sporolactobacillus,,47.5,,AB374522,56.2,30
Enterococcus ureasiticus,903984,CCRI-16986,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,,41.7,,GU457262,52.9,30
Clostridium acetireducens,76489,30A,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,28.5,,X79862,51,30
Marinobacter oulmenensis,643747,Set74,Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Marinobacter,,57.4,,FJ897726,54.8,30
Clostridium colicanis,179628, 3WC2,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,,31.7,,AJ420008,53,30
Succinatimonas hippei,626938,YIT 12066,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Succinivibrionaceae,Succinatimonas,,40.3,,AB490810,55.5,30
Glucerabacter canisensis,1912090,NATH-2371,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Glucerabacter,,36.9,,LC191811,52.3,30
Alkalispirillum mobile,85925,SL-1,Bacteria,Proteobacteria,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalispirillum,,,,AF114783,57.8,30
Corynebacterium massiliense,441501,5402485,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium,,,,EF217056,56.8,30
Sorangium orientale,2093420,Soce GT47,Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Polyangiaceae,Sorangium,,71.2,,MG824978,57.5,30
Syntrophococcus sucromutans,84037,S195,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Syntrophococcus,,52,,AF202264,55.7,30
Comamonas kerstersii,225992,LMG 3475,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,GCA_002056725.1,59.6,3.5,AJ430347,54,30
Serpentinicella alkaliphila,1734049,3b,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Serpentinicella,,33.2,,KR349722,53.8,30
Peptoniphilus catoniae,1660341,M6.X2D,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,,34.4,,KR911910,51.2,30
Aquicella lusitana,254246,SGT-39,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,GCA_902459475.1,44.1,2.6,AY359282,55.2,30
Eubacterium oxidoreducens,1732,G41,Bacteria,Firmicutes,Clostridia,Clostridiales,Eubacteriaceae,Eubacterium,,36,,AF202258,52.8,30
Actinobaculum suis,1657, Soltys 50052,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,Actinomycetaceae,Actinobaculum,,56,,S83623,56.4,30
Bifidobacterium faecale,1454229,CU3-7,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,,58.6,,KF990498,59.6,30
Peptoanaerobacter stomatis,796937,ACC19a,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,Peptoanaerobacter,,30.4,,HM120213,48.7,30
Burkholderia contaminans,488447,LMG23361,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,GCA_001029145.1,66.4,8.5,NR_104978,55.3,30
Paenibacillus konsidensis,479474,LBY,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,,51.3,,EU081509,54.6,30
Acetanaerobacterium elongatum,258515,Z7,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Acetanaerobacterium,,50.4,,AY487928,53.9,30
Mycobacterium palustre,153971,DSM 44572,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,,,AJ308603,58.7,30
Alloprevotella rava,671218,29688,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Alloprevotella,,47,,JQ039189,53.3,30
Selenomonas noxia,135083,ATCC 43541,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,,57,,AF287799,54.7,30
Selenomonas lipolytica,60695,CF1B,Bacteria,Firmicutes,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,,40,,AF001901,54.3,30
Riemerella columbipharyngis,1071918,8151,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Riemerella,,35.7,,HQ286278,50.5,30
Faecalimonas umbilicata,1912855,EGH7,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,Faecalimonas,,46.9,,LC192831,54,30
Alloscardovia venturai,1769421,MOZIV/2,Bacteria,Actinobacteria,Actinobacteria,Bifidobacteriales,Bifidobacteriaceae,Alloscardovia,,45.8,,KT343144,55.6,30
Megasphaera hexanoica,1675036,MH,Bacteria,Firmicutes,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,GCA_003315775.1,49,2.9,KX021300,55.7,30
Agathobaculum butyriciproducens,1628085,SR79,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Agathobaculum,,52.9,,KP889099,53.8,30
Longilinea arvoryzae,360412,KOME-1,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Longilinea,,57.6,,AB243673,55.7,30
Pelotomaculum terephthalicicum,206393,JT,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Pelotomaculum,,53.6,,AB091323,55.9,30
Clostridium ljungdahlii,1538,PETC,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium,GCA_000143685.1,31.1,4.6,M59097,49.4,30
Capnocytophaga endodontalis,2708117,ChDC OS43,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,GCA_002209445.1,38.2,3.4,NR_165677,50.9,30
Desulfotomaculum halophilum,57172,SEBR 3139,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptococcaceae,Desulfohalotomaculum,,56.3,,U88891,53.6,30
Streptomyces chitinivorans,1257027,RC1832,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,66.2,,JQ862603,60.3,30
Streptomyces barkulensis,1257026,RC 1831,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,,66.2,,JQ862602,60.3,30
Allobaculum stercoricanis,174709,DSM 13633,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Allobaculum,,37.9,,AJ417075,53.5,30
Methanosphaera stadtmanae,2317,MCB-3,Archaea,Euryarchaeota,Methanobacteria,Methanobacteriales,Methanobacteriaceae,Methanosphaera,GCA_000012545.1,27.6,1.8,M59139,50.7,30
Bacteroides cellulosilyticus,246787,CRE21,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,GCA_001318345.1,42.7,7.1,AJ583243,50.3,30
Methanogenium organophilum,2199,CV,Archaea,Euryarchaeota,Methanomicrobia,Methanomicrobiales,Methanomicrobiaceae,Methanogenium,,46.7,,M59131,54.9,30
Ileibacterium valens,1862668,NYU-BL-A3,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Ileibacterium,,41.1,,KU744404,54.6,30
Senegalimassilia anaerobia,1473216,JC110,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Senegalimassilia,,60.9,,JF824809,64.6,30
Timonella senegalensis,1465825,JC301,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,,Timonella,,61.4,,JN657220,57.6,30
Cellulomonas massiliensis,1465811,JC225,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Cellulomonadaceae,Cellulomonas,,71.2,,JN657218,58.3,30
Peptoniphilus senegalensis,1465757,JC140 ,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,,32.2,,NR_125592,49.9,30
Ezakiella peruensis,1464038, M6.X2,Bacteria,Firmicutes,Tissierellia,,,Ezakiella,,38.4,,KJ469554,50.1,30
Alistipes senegalensis,1288121,JC50,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,,58.4,,JF824804,53.1,30
Anaerococcus senegalensis,1288120,JC48,Bacteria,Firmicutes,Tissierellia,Tissierellales,Peptoniphilaceae,Anaerococcus,,28.6,,NR_118220,48.5,30
Dactylosporangium darangshiense,579108,DLS-44,Bacteria,Actinobacteria,Actinobacteria,Micromonosporales,Micromonosporaceae,Dactylosporangium,,69.8,,FM882231,59.6,30
Exiguobacterium chiriqhucha,1385984,N139,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,,52,,NZ_JMEH01000010,56.8,30
Albirhodobacter marinus,992290,N9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Albirhodobacter,,63,,FR827899,53.4,30
Exiguobacterium arabatum,518693,RFL1109,Bacteria,Firmicutes,Bacilli,Bacillales,,Exiguobacterium,,52,,FM203124,57.1,30
Oxalicibacterium flavum,179467,TA17,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Oxalicibacterium,,63,,AY061962,54.3,30
Fusobacterium pseudoperiodonticum,2663009,ChDC F213,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,GCA_002763695.1,28,2.7,FJ471665,49.8,30
Prevotella colorans,1703337,A1336,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,,43.2,,KT886066,56.4,30
Neisseria macacae,496,M-740,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,,50.5,,L06169,53,30
Mycobacterium heidelbergense,53376,ATCC 51253,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium,,,,AJ000684,58.5,30
Rhodoplanes oryzae,1410330,JA793,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,,68.7,,HG531388,57.8,30
Lacticigenium naphtae,515351,MIC1-18,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Lacticigenium,,37.8,,AB430339,53.4,30
Haloterrigena turkmenica,62320,4k,Archaea,Euryarchaeota,Halobacteria,Natrialbales,Natrialbaceae,Haloterrigena,GCA_000025325,59.8,5.4,NR_040778,57.9,29
